Team,Team_Abbr,Oddshark_Wins,Atlantis_Wins,CRIS_Wins,Westgate_Wins,Fangraphs_Wins,Average,RegGames,WinnPerc,2017_Actual_Wins,2017_Actual_WP,Diff_Wins_Avg,luckSD,Mlb2016SD,TalentVar,RegrGames,PriorAlpha,PriorBeta,Beta_Estimate,80CI_Low,80CI_High,90CI_Low,90CI_High,95CI_Low,95CI_High,99CI_Low,99CI_High,Beta_Wins,80CI_Low_Wins,80CI_High_Wins,90CI_Low_Wins,90CI_High_Wins,95CI_Low_Wins,95CI_High_Wins,99CI_Low_Wins,99CI_High_Wins,FinalIn80CI,FinalIn90CI,FinalIn95CI,FinalIn99CI
Arizona Diamondbacks,ARI,78.5,78.5,77.5,77.5,77.1,77.8,162,0.480246914,93,0.574074074,-15.2,0.039253042313,0.0650453602411,0.00269009755806,92.788387858,44.5613369238,48.2270509341,0.480269870003,0.413901322102,0.546806143498,0.395596382401,0.565438884258,0.379761191329,0.580838893215,0.350020235955,0.61237500176,77.8,67.1,88.6,64.1,91.6,61.5,94.1,56.7,99.2,0,0,1,1
Atlanta Braves,ATL,71.5,71.5,74.5,75.5,72.1,73.0,162,0.450617284,72,0.444444444,1.0,0.039091641884,0.0650453602411,0.0027027424237,91.5963523529,41.2748995216,50.3214528313,0.450635076358,0.384469874749,0.517237519685,0.36610608761,0.53579737546,0.350664785554,0.552102865769,0.321076511096,0.584622967266,73.0,62.3,83.8,59.3,86.8,56.8,89.4,52.0,94.7,1,1,1,1
Baltimore Orioles,BAL,84.5,84.5,80.5,79.5,79.7,81.7,162,0.504320988,75,0.462962963,6.7,0.0392822431112,0.0650453602411,0.00268780426505,93.0057788485,46.9047662786,46.1010125699,0.504406237178,0.437999723863,0.570850720691,0.419289160189,0.589062002727,0.403191488558,0.604557449437,0.372839577858,0.634528708413,81.7,71.0,92.5,67.9,95.4,65.3,97.9,60.4,102.8,1,1,1,1
Boston Red Sox,BOS,91.5,90.5,92.5,92.5,90.8,91.6,162,0.565432099,93,0.574074074,-1.4,0.03894588208,0.0650453602411,0.0027141171579,90.5335422627,51.1905708315,39.3429714312,0.56541478537,0.498471325191,0.631606850073,0.479103766772,0.6498757315,0.462223465554,0.665076690664,0.430553383214,0.694209998155,91.6,80.8,102.3,77.6,105.3,74.9,107.7,69.7,112.5,1,1,1,1
Chicago Cubs,CHC,96.5,95.5,96.5,95.5,96.3,96.1,162,0.593209877,92,0.567901235,4.1,0.038595074114,0.0650453602411,0.00274131914303,88.0276634129,52.2188793857,35.8087840271,0.593130123043,0.525810568605,0.659440690439,0.506573433102,0.677397706208,0.489628072426,0.693094985192,0.45689201837,0.723245166007,96.1,85.2,106.8,82.1,109.7,79.3,112.3,74.0,117.2,1,1,1,1
Chicago White Sox,CHW,71.5,73.5,68.5,68.5,67.8,70.0,162,0.432098765,67,0.413580247,3.0,0.0389197831479,0.0650453602411,0.00271614936861,90.3445978051,39.037789136,51.3068086691,0.431941644453,0.36598458029,0.498712009552,0.347624296537,0.518489161858,0.332706453969,0.535221989986,0.303151851168,0.567263719422,70.0,59.3,80.8,56.3,84.0,53.9,86.7,49.1,91.9,1,1,1,1
Cincinnati Reds,CIN,73.5,73.5,69.5,70.5,67.5,70.9,162,0.437654321,68,0.419753086,2.9,0.0389771234195,0.0650453602411,0.00271168273883,90.760254799,39.7216176879,51.0386371112,0.437487283438,0.370974783622,0.504363686357,0.352939336394,0.523354363501,0.337580045777,0.540345482736,0.307676168359,0.573214003588,70.9,60.1,81.7,57.2,84.8,54.7,87.5,49.8,92.9,1,1,1,1
Cleveland Indians,CLE,93.5,92.5,93.5,93.5,93.5,93.3,162,0.575925926,102,0.62962963,-8.7,0.038828147306,0.0650453602411,0.00272327386567,89.6844261019,51.6515861505,38.0328399514,0.57577287552,0.508081645514,0.642460587457,0.489322633164,0.660495661503,0.472287229434,0.675941774727,0.440266247672,0.706269070433,93.3,82.3,104.1,79.3,107.0,76.5,109.5,71.3,114.4,1,1,1,1
Colorado Rockies,COL,80.5,79.5,80.5,80.5,78.1,79.8,162,0.492592593,87,0.537037037,-7.2,0.0392793988603,0.0650453602411,0.00268802771406,92.984580856,45.8035157929,47.1810650631,0.492689217758,0.426525394239,0.559083406714,0.408329855297,0.577747392363,0.392636153245,0.593963094746,0.362751231095,0.625900962225,79.8,69.1,90.6,66.1,93.6,63.6,96.2,58.8,101.4,1,1,1,1
Detroit Tigers,DET,84.5,85.5,82.5,83.5,81.7,83.5,162,0.515432099,64,0.395061728,19.5,0.0392649948019,0.0650453602411,0.0026891590721,92.8773061111,47.8719448383,45.0053612728,0.515177594506,0.44862331746,0.581335219016,0.429909078326,0.599189517329,0.413691813697,0.615420746415,0.382980396492,0.645869992508,83.5,72.7,94.2,69.6,97.1,67.0,99.7,62.0,104.6,0,0,0,1
Houston Astros,HOU,87.5,87.5,91.5,91.5,90.2,89.6,162,0.55308642,101,0.62345679,-11.4,0.0390616663476,0.0650453602411,0.00270508511104,91.3767300714,50.5392285065,40.8375015649,0.553016640844,0.486006047852,0.619222316904,0.466871125403,0.637254591255,0.45095950141,0.652106949573,0.419959935151,0.682433304214,89.6,78.7,100.3,75.6,103.2,73.1,105.6,68.0,110.6,0,1,1,1
Kansas City Royals,KCR,81.5,80.5,75.5,74.5,75.7,77.5,162,0.478395062,80,0.49382716,-2.5,0.0392470197543,0.0650453602411,0.0026905703293,92.7436179374,44.3680888533,48.3755290841,0.47820808758,0.412131796706,0.54460114415,0.393653461743,0.563407957441,0.37798424855,0.579176784233,0.347029275991,0.611653196864,77.5,66.8,88.2,63.8,91.3,61.2,93.8,56.2,99.1,1,1,1,1
Los Angeles Angels,LAA,76.5,76.5,79.5,80.5,82.7,79.1,162,0.488271605,80,0.49382716,-0.9,0.0392729012178,0.0650453602411,0.00268853811882,92.9361733804,45.378094539,47.5580788414,0.488285064987,0.422206647867,0.554666561922,0.4036635693,0.573096509253,0.3884051933,0.588993800017,0.357695746082,0.620804625227,79.1,68.4,89.9,65.4,92.8,62.9,95.4,57.9,100.6,1,1,1,1
Los Angeles Dodgers,LAD,92.5,91.5,94.5,94.5,96.6,93.9,162,0.57962963,104,0.641975309,-10.1,0.0387823239954,0.0650453602411,0.00272683023441,89.356175882,51.7934871647,37.5626887173,0.579572431826,0.512395320989,0.646051596436,0.493233031806,0.664183344031,0.476221057745,0.679388906393,0.442939093044,0.708510603641,93.9,83.0,104.7,79.9,107.6,77.1,110.1,71.8,114.8,1,1,1,1
Miami Marlins,MIA,76.5,77.5,76.5,76.5,78.8,77.2,162,0.47654321,77,0.475308642,0.2,0.0392404568097,0.0650453602411,0.00269108543825,92.6948566764,44.1731045511,48.5217521253,0.476636721461,0.410644383826,0.543132928504,0.392463735431,0.561989254117,0.376127670497,0.578259211188,0.344651544448,0.609807650911,77.2,66.5,88.0,63.6,91.0,60.9,93.7,55.8,98.8,1,1,1,1
Milwaukee Brewers,MIL,71.5,72.5,69.5,69.5,70.3,70.7,162,0.436419753,86,0.530864198,-15.3,0.0389648109839,0.0650453602411,0.00271264239388,90.6708354726,39.5705436212,51.1002918513,0.43655829064,0.370233654183,0.5036116247,0.352307631876,0.522246850305,0.336298415111,0.538282529419,0.307031744259,0.570546272225,70.7,60.0,81.6,57.1,84.6,54.5,87.2,49.7,92.4,0,0,1,1
Minnesota Twins,MIN,70.5,70.5,74.5,75.5,74.6,73.1,162,0.451234568,85,0.524691358,-11.9,0.039096425008,0.0650453602411,0.00270236844048,91.631447782,41.3472767551,50.2841710269,0.451024286739,0.384821687086,0.517425797437,0.366881350463,0.536749339541,0.351031217663,0.553132013109,0.321294609516,0.585012556456,73.1,62.3,83.8,59.4,87.0,56.9,89.6,52.0,94.8,0,1,1,1
New York Mets,NYM,90.5,89.5,87.5,88.5,87.1,88.6,162,0.54691358,70,0.432098765,18.6,0.0391104100325,0.0650453602411,0.00270127471598,91.7341411245,50.1706475306,41.5634935939,0.546932500198,0.480194366967,0.613084989064,0.461515778332,0.631076397431,0.444888532709,0.646707506625,0.413863341187,0.676015529922,88.6,77.8,99.3,74.8,102.2,72.1,104.8,67.0,109.5,0,0,0,1
New York Yankees,NYY,83.5,83.5,82.5,83.5,79.2,82.4,162,0.508641975,91,0.561728395,-8.6,0.0392778419195,0.0650453602411,0.00268815002304,92.9729792334,47.2899597789,45.6830194545,0.508764995095,0.442084603478,0.574873302277,0.423499272192,0.593666773607,0.407264700569,0.609021454203,0.376469401992,0.640161327732,82.4,71.6,93.1,68.6,96.2,66.0,98.7,61.0,103.7,1,1,1,1
Oakland Athletics,OAK,66.5,66.5,73.5,74.5,76.7,71.5,162,0.441358025,75,0.462962963,-3.5,0.0390125904628,0.0650453602411,0.00270891667427,91.0183473379,40.1716780198,50.8466693181,0.441661831874,0.375348427252,0.508657956972,0.357135465864,0.527453355639,0.34089925952,0.544023980257,0.311712830846,0.576399982304,71.5,60.8,82.4,57.9,85.4,55.2,88.1,50.5,93.4,1,1,1,1
Philadelphia Phillies,PHI,72.5,72.5,73.5,72.5,71.5,72.5,162,0.447530864,66,0.407407407,6.5,0.0390668143853,0.0650453602411,0.00270468290267,91.4144092542,40.9107695556,50.5036396986,0.447382250203,0.380992719414,0.513943738082,0.363105894107,0.532975255771,0.347438663177,0.549703016696,0.317354690899,0.582246762846,72.5,61.7,83.3,58.8,86.3,56.3,89.1,51.4,94.3,1,1,1,1
Pittsburgh Pirates,PIT,85.5,85.5,83.0,82.5,79.7,83.2,162,0.513580247,75,0.462962963,8.2,0.0392692177449,0.0650453602411,0.0026888274266,92.9087432017,47.716095282,45.1926479197,0.513443655397,0.447144046894,0.580086074016,0.428433690985,0.59827577671,0.412392025267,0.61465117776,0.381011307632,0.644708768512,83.2,72.4,94.0,69.4,96.9,66.8,99.6,61.7,104.4,1,1,1,1
San Diego Padres,SDP,64.5,64.5,66.5,67.5,65.8,65.8,162,0.40617284,71,0.438271605,-5.2,0.038585840175,0.0650453602411,0.00274203182687,87.9626785081,35.7280509436,52.2346275645,0.406000506025,0.339360215652,0.473288636978,0.321705504219,0.492761392348,0.305955939226,0.509595233447,0.2762260789,0.542136514188,65.8,55.0,76.7,52.1,79.8,49.6,82.6,44.7,87.8,1,1,1,1
Seattle Mariners,SEA,85.5,85.5,85.5,85.5,81.8,84.8,162,0.52345679,78,0.481481481,6.8,0.0392404568097,0.0650453602411,0.00269108543825,92.6948566764,48.5217521253,44.1731045511,0.523352094122,0.456806804378,0.590100034682,0.438128128263,0.608147463465,0.421619483695,0.623867688478,0.390096231601,0.653339929585,84.8,74.0,95.6,71.0,98.5,68.3,101.1,63.2,105.8,1,1,1,1
San Francisco Giants,SFG,87.5,87.5,88.5,87.5,88.4,87.9,162,0.542592593,64,0.395061728,23.9,0.0391409191195,0.0650453602411,0.00269888733937,91.9585887861,49.8960491381,42.062539648,0.542549409114,0.475709015094,0.608700480404,0.457183888548,0.627175658345,0.441269620971,0.643103208911,0.409714649329,0.671623268331,87.9,77.1,98.6,74.1,101.6,71.5,104.2,66.4,108.8,0,0,0,0
St. Louis Cardinals,STL,88.5,87.5,84.5,83.5,85.4,85.9,162,0.530246914,83,0.512345679,2.9,0.0392117647527,0.0650453602411,0.00269333639387,92.4819954762,49.0382927018,43.4437027744,0.530186135405,0.463519150816,0.596598568911,0.444897385398,0.615018894377,0.428914579819,0.630779164057,0.398099989134,0.660207724928,85.9,75.1,96.6,72.1,99.6,69.5,102.2,64.5,107.0,1,1,1,1
Tampa Bay Rays,TBR,75.5,75.5,78.5,78.5,80.8,77.8,162,0.480246914,80,0.49382716,-2.2,0.039253042313,0.0650453602411,0.00269009755806,92.788387858,44.5613369238,48.2270509341,0.479923652027,0.413865015878,0.54614562876,0.395376847755,0.564668051638,0.379741704995,0.581170071895,0.349135530955,0.611761439864,77.7,67.0,88.5,64.1,91.5,61.5,94.1,56.6,99.1,1,1,1,1
Texas Rangers,TEX,85.5,86.5,85.5,84.5,81.7,84.7,162,0.522839506,78,0.481481481,6.7,0.0392427045171,0.0650453602411,0.00269090903108,92.7115536365,48.4732629038,44.2382907327,0.522818694744,0.456846434282,0.589008541539,0.437793977966,0.607303864106,0.421252520255,0.623320364495,0.389683214951,0.653247823827,84.7,74.0,95.4,70.9,98.4,68.2,101.0,63.1,105.8,1,1,1,1
Toronto Blue Jays,TOR,85.5,86.5,85.5,84.5,85.8,85.6,162,0.528395062,76,0.469135802,9.6,0.0392203116039,0.0650453602411,0.00269266604658,92.5453495321,48.9005057038,43.6448438283,0.528334904569,0.46199945263,0.5946486543,0.442814319871,0.612427754722,0.426639421165,0.62783981071,0.39533606931,0.657672379719,85.6,74.8,96.3,71.7,99.2,69.1,101.7,64.0,106.5,1,1,1,1
Washington Nationals,WSN,90.5,90.5,90.5,91.5,92.4,91.1,162,0.562345679,97,0.598765432,-5.9,0.0389771234195,0.0650453602411,0.00271168273883,90.760254799,51.0386371112,39.7216176879,0.562312892599,0.495224625581,0.628366724805,0.475928203769,0.646799127631,0.459489113102,0.662377155272,0.4286467883,0.691690509774,91.1,80.2,101.8,77.1,104.8,74.4,107.3,69.4,112.1,1,1,1,1
