xmlstatsTeamId,Team_Abbr,Wins_20170402,Losses_20170402,Wins_20170403,Losses_20170403,Wins_20170404,Losses_20170404,Wins_20170405,Losses_20170405,Wins_20170406,Losses_20170406,Wins_20170407,Losses_20170407,Wins_20170408,Losses_20170408,Wins_20170409,Losses_20170409,Wins_20170410,Losses_20170410,Wins_20170411,Losses_20170411,Wins_20170412,Losses_20170412,Wins_20170413,Losses_20170413,Wins_20170414,Losses_20170414,Wins_20170415,Losses_20170415,Wins_20170416,Losses_20170416,Wins_20170417,Losses_20170417,Wins_20170418,Losses_20170418,Wins_20170419,Losses_20170419,Wins_20170420,Losses_20170420,Wins_20170421,Losses_20170421,Wins_20170422,Losses_20170422,Wins_20170423,Losses_20170423,Wins_20170424,Losses_20170424,Wins_20170425,Losses_20170425,Wins_20170426,Losses_20170426,Wins_20170427,Losses_20170427,Wins_20170428,Losses_20170428,Wins_20170429,Losses_20170429,Wins_20170430,Losses_20170430,Wins_20170501,Losses_20170501,Wins_20170502,Losses_20170502,Wins_20170503,Losses_20170503,Wins_20170504,Losses_20170504,Wins_20170505,Losses_20170505,Wins_20170506,Losses_20170506,Wins_20170507,Losses_20170507,Wins_20170508,Losses_20170508,Wins_20170509,Losses_20170509,Wins_20170510,Losses_20170510,Wins_20170511,Losses_20170511,Wins_20170512,Losses_20170512,Wins_20170513,Losses_20170513,Wins_20170514,Losses_20170514,Wins_20170515,Losses_20170515,Wins_20170516,Losses_20170516,Wins_20170517,Losses_20170517,Wins_20170518,Losses_20170518,Wins_20170519,Losses_20170519,Wins_20170520,Losses_20170520,Wins_20170521,Losses_20170521,Wins_20170522,Losses_20170522,Wins_20170523,Losses_20170523,Wins_20170524,Losses_20170524,Wins_20170525,Losses_20170525,Wins_20170526,Losses_20170526,Wins_20170527,Losses_20170527,Wins_20170528,Losses_20170528,Wins_20170529,Losses_20170529,Wins_20170530,Losses_20170530,Wins_20170531,Losses_20170531,Wins_20170601,Losses_20170601,Wins_20170602,Losses_20170602,Wins_20170603,Losses_20170603,Wins_20170604,Losses_20170604,Wins_20170605,Losses_20170605,Wins_20170606,Losses_20170606,Wins_20170607,Losses_20170607,Wins_20170608,Losses_20170608,Wins_20170609,Losses_20170609,Wins_20170610,Losses_20170610,Wins_20170611,Losses_20170611,Wins_20170612,Losses_20170612,Wins_20170613,Losses_20170613,Wins_20170614,Losses_20170614,Wins_20170615,Losses_20170615,Wins_20170616,Losses_20170616,Wins_20170617,Losses_20170617,Wins_20170618,Losses_20170618,Wins_20170619,Losses_20170619,Wins_20170620,Losses_20170620,Wins_20170621,Losses_20170621,Wins_20170622,Losses_20170622,Wins_20170623,Losses_20170623,Wins_20170624,Losses_20170624,Wins_20170625,Losses_20170625,Wins_20170626,Losses_20170626,Wins_20170627,Losses_20170627,Wins_20170628,Losses_20170628,Wins_20170629,Losses_20170629,Wins_20170630,Losses_20170630,Wins_20170701,Losses_20170701,Wins_20170702,Losses_20170702,Wins_20170703,Losses_20170703,Wins_20170704,Losses_20170704,Wins_20170705,Losses_20170705,Wins_20170706,Losses_20170706,Wins_20170707,Losses_20170707,Wins_20170708,Losses_20170708,Wins_20170709,Losses_20170709,Wins_20170710,Losses_20170710,Wins_20170711,Losses_20170711,Wins_20170712,Losses_20170712,Wins_20170713,Losses_20170713,Wins_20170714,Losses_20170714,Wins_20170715,Losses_20170715,Wins_20170716,Losses_20170716,Wins_20170717,Losses_20170717,Wins_20170718,Losses_20170718,Wins_20170719,Losses_20170719,Wins_20170720,Losses_20170720,Wins_20170721,Losses_20170721,Wins_20170722,Losses_20170722,Wins_20170723,Losses_20170723,Wins_20170724,Losses_20170724,Wins_20170725,Losses_20170725,Wins_20170726,Losses_20170726,Wins_20170727,Losses_20170727,Wins_20170728,Losses_20170728,Wins_20170729,Losses_20170729,Wins_20170730,Losses_20170730,Wins_20170731,Losses_20170731,Wins_20170801,Losses_20170801,Wins_20170802,Losses_20170802,Wins_20170803,Losses_20170803,Wins_20170804,Losses_20170804,Wins_20170805,Losses_20170805,Wins_20170806,Losses_20170806,Wins_20170807,Losses_20170807,Wins_20170808,Losses_20170808,Wins_20170809,Losses_20170809,Wins_20170810,Losses_20170810,Wins_20170811,Losses_20170811,Wins_20170812,Losses_20170812,Wins_20170813,Losses_20170813,Wins_20170814,Losses_20170814,Wins_20170815,Losses_20170815,Wins_20170816,Losses_20170816,Wins_20170817,Losses_20170817,Wins_20170818,Losses_20170818,Wins_20170819,Losses_20170819,Wins_20170820,Losses_20170820,Wins_20170821,Losses_20170821,Wins_20170822,Losses_20170822,Wins_20170823,Losses_20170823,Wins_20170824,Losses_20170824,Wins_20170825,Losses_20170825,Wins_20170826,Losses_20170826,Wins_20170827,Losses_20170827,Wins_20170828,Losses_20170828,Wins_20170829,Losses_20170829,Wins_20170830,Losses_20170830,Wins_20170831,Losses_20170831,Wins_20170901,Losses_20170901,Wins_20170902,Losses_20170902,Wins_20170903,Losses_20170903,Wins_20170904,Losses_20170904,Wins_20170905,Losses_20170905,Wins_20170906,Losses_20170906,Wins_20170907,Losses_20170907,Wins_20170908,Losses_20170908,Wins_20170909,Losses_20170909,Wins_20170910,Losses_20170910,Wins_20170911,Losses_20170911,Wins_20170912,Losses_20170912,Wins_20170913,Losses_20170913,Wins_20170914,Losses_20170914,Wins_20170915,Losses_20170915,Wins_20170916,Losses_20170916,Wins_20170917,Losses_20170917,Wins_20170918,Losses_20170918,Wins_20170919,Losses_20170919,Wins_20170920,Losses_20170920,Wins_20170921,Losses_20170921,Wins_20170922,Losses_20170922,Wins_20170923,Losses_20170923,Wins_20170924,Losses_20170924,Wins_20170925,Losses_20170925,Wins_20170926,Losses_20170926,Wins_20170927,Losses_20170927,Wins_20170928,Losses_20170928,Wins_20170929,Losses_20170929,Wins_20170930,Losses_20170930,Wins_20171001,Losses_20171001
arizona-diamondbacks,ARI,1,0,1,0,1,1,2,1,3,1,4,1,5,1,6,1,6,2,7,2,7,3,7,3,7,4,7,5,8,5,9,5,10,5,10,6,10,7,11,7,12,7,12,8,13,8,14,8,14,9,15,9,15,10,15,11,16,11,16,11,17,11,17,12,17,13,18,13,18,14,18,15,18,15,18,16,19,16,20,16,21,16,21,17,21,18,22,18,23,18,24,18,24,18,25,18,26,18,26,19,27,19,28,19,29,19,30,19,31,19,31,20,31,21,31,22,32,22,33,22,34,22,34,23,34,24,34,25,34,25,35,25,36,25,37,25,37,26,38,26,39,26,39,26,40,26,41,26,41,26,42,26,43,26,44,26,44,26,44,27,45,27,46,27,46,28,47,28,48,28,49,28,50,28,50,29,50,30,50,31,51,31,52,31,52,31,52,32,52,33,52,34,53,34,53,35,53,36,53,36,53,36,53,36,53,36,53,37,53,38,53,39,53,39,54,39,54,40,55,40,56,40,56,41,56,42,57,42,57,43,58,43,59,43,59,44,60,44,60,45,60,45,60,46,61,46,62,46,63,46,63,47,63,48,63,48,64,48,64,49,64,50,64,51,65,51,65,52,66,52,66,53,66,54,67,54,67,55,67,56,67,57,68,57,69,57,69,58,70,58,71,58,72,58,73,58,73,58,74,58,75,58,76,58,77,58,78,58,79,58,80,58,81,58,82,58,82,58,82,59,82,60,83,60,83,61,83,62,84,62,85,62,86,62,87,62,87,63,87,64,87,65,88,65,88,65,89,65,89,66,90,66,90,67,91,67,92,67,92,67,92,68,92,69,93,69
atlanta-braves,ATL,0,0,0,1,0,1,1,1,1,2,1,3,1,4,1,5,1,5,1,6,2,6,2,6,3,6,4,6,5,6,6,6,6,7,6,8,6,9,6,10,6,11,6,12,6,12,6,12,7,12,8,12,9,12,10,12,10,13,10,14,11,14,11,15,11,15,11,16,11,17,11,18,11,18,11,19,11,20,11,20,12,20,13,20,13,21,14,21,15,21,16,21,16,22,17,22,18,22,18,23,19,23,20,23,20,24,20,25,21,25,21,26,21,27,22,27,22,28,22,29,22,29,22,30,23,30,24,30,24,31,24,32,25,32,26,32,27,32,27,34,27,35,28,35,28,36,29,36,29,36,29,37,30,37,31,37,32,37,32,38,33,38,34,38,35,38,36,38,36,39,36,39,37,39,37,40,37,41,38,41,39,41,40,41,40,41,40,42,40,43,41,43,41,44,42,44,42,45,42,45,42,45,42,45,42,45,43,45,44,45,45,45,45,46,45,47,45,48,46,48,47,48,47,49,47,50,47,51,48,51,48,52,48,52,48,53,48,54,48,55,48,56,48,57,49,57,49,58,50,58,51,58,51,59,51,59,51,60,51,61,51,61,51,62,51,63,52,63,52,64,53,64,53,65,54,65,54,66,54,67,55,67,55,68,56,68,56,69,56,69,57,69,57,70,57,71,57,72,57,72,59,72,59,73,59,74,59,75,60,75,60,76,60,76,61,77,62,77,62,78,63,78,64,78,64,78,65,78,66,78,66,79,67,79,67,80,67,81,67,81,67,82,67,83,68,83,69,83,70,83,70,84,71,85,71,86,71,87,71,88,71,89,71,90,72,90
baltimore-orioles,BAL,0,0,1,0,1,0,2,0,2,0,3,0,4,0,4,1,4,1,4,2,5,2,6,2,7,2,7,3,8,3,8,3,8,4,9,4,10,4,11,4,12,4,12,5,13,5,13,6,14,6,14,6,14,7,14,8,15,8,16,8,16,9,16,10,17,10,18,10,19,10,20,10,21,10,22,10,22,11,22,11,22,12,22,13,22,14,22,14,23,14,23,15,23,16,24,16,25,16,25,17,25,18,25,19,25,20,25,20,25,21,25,22,25,23,26,23,26,24,27,24,28,24,29,24,29,25,29,26,29,26,30,26,31,26,31,27,31,28,31,29,31,30,31,31,31,32,32,32,32,33,32,34,33,34,34,34,34,35,35,35,35,36,35,37,35,38,36,38,37,38,37,38,38,38,38,39,39,39,39,40,39,41,40,41,40,42,40,43,40,44,40,45,40,46,41,46,42,46,42,46,42,46,42,46,42,46,42,47,42,48,42,49,43,49,44,49,45,49,46,49,46,50,46,51,47,51,48,51,48,52,48,53,48,53,48,54,49,54,50,54,51,54,52,54,53,54,53,55,53,56,54,56,55,56,56,56,56,57,56,58,57,58,57,59,58,59,58,60,59,60,59,61,59,62,59,62,60,62,60,63,60,64,61,64,61,65,62,65,62,65,63,65,64,65,65,65,66,65,67,65,68,65,68,66,69,66,69,67,70,67,70,68,71,68,71,68,71,69,71,70,71,71,71,72,71,73,71,74,72,74,72,75,72,76,72,77,73,77,73,78,73,79,73,80,74,80,74,81,74,82,75,82,75,82,75,83,75,84,75,84,75,85,75,86,75,87
boston-red-sox,BOS,0,0,1,0,1,0,2,0,2,0,2,1,2,2,3,2,3,3,4,3,4,4,5,4,5,5,6,5,7,5,8,5,9,5,9,6,10,6,10,7,10,8,11,8,11,8,11,8,11,9,11,10,12,10,12,11,13,11,13,12,14,12,15,12,15,13,15,14,16,14,17,14,17,14,17,15,17,16,18,16,18,17,19,17,19,18,19,18,20,18,21,18,21,19,21,20,21,21,22,21,22,21,23,21,24,21,25,21,26,21,27,21,27,22,27,23,28,23,29,23,29,24,29,25,30,25,31,25,31,25,32,25,32,26,32,27,33,27,34,27,34,28,35,28,36,28,37,28,37,29,38,29,38,30,39,30,39,31,40,31,40,32,40,32,41,32,41,33,41,34,42,34,43,34,43,35,44,35,45,35,46,35,47,35,48,35,49,35,49,36,49,37,50,37,50,38,50,39,50,39,50,39,50,39,50,39,51,39,51,40,52,41,52,42,53,42,54,42,54,43,55,43,55,44,55,45,55,46,55,47,56,47,56,47,56,48,57,48,57,49,58,49,59,49,59,49,60,49,61,49,62,49,63,49,63,49,64,49,65,49,65,49,65,50,66,50,67,50,67,51,68,51,69,51,69,51,70,51,70,52,71,52,71,53,72,53,73,53,73,54,73,55,73,56,73,57,74,57,75,57,76,57,76,58,77,58,77,59,77,60,77,61,78,61,79,61,79,61,80,61,81,61,81,62,81,62,82,62,82,63,83,63,84,63,85,63,85,64,86,64,87,64,88,64,88,64,89,64,90,64,91,64,91,65,91,66,92,66,92,67,92,68,93,68,93,69
chicago-cubs,CHC,0,1,0,1,1,1,1,1,2,1,2,2,3,2,4,2,5,2,5,2,5,3,6,3,6,4,6,5,6,6,6,7,7,7,8,7,8,7,9,7,10,7,10,8,11,8,12,8,12,9,12,9,12,10,13,10,13,11,13,12,14,12,15,12,16,12,16,13,16,14,16,15,16,15,17,16,17,17,17,17,18,17,18,18,18,19,18,19,19,19,20,19,21,19,21,20,21,20,22,20,22,21,23,21,24,21,25,21,25,22,25,23,25,24,25,25,25,26,25,27,25,27,26,27,27,27,28,27,29,27,30,27,30,28,30,29,30,30,30,31,31,31,31,32,32,32,32,33,32,33,33,33,33,34,34,34,35,34,36,34,36,35,37,35,37,36,38,36,38,37,39,37,39,38,39,39,40,39,40,40,40,41,41,41,41,41,41,42,42,42,42,43,43,43,43,44,43,45,43,45,43,45,43,45,43,45,44,45,45,45,46,45,47,45,48,45,49,45,49,45,49,46,50,46,51,46,51,47,52,47,53,47,54,47,54,48,55,48,56,48,56,48,57,48,57,49,57,50,57,51,58,51,58,52,59,52,59,53,59,54,59,54,60,54,60,55,61,55,62,55,62,56,63,56,63,57,64,57,65,57,66,57,66,57,67,57,68,57,68,58,68,59,69,59,69,60,70,60,71,60,72,60,73,60,74,60,75,60,75,61,75,62,75,63,76,63,77,63,77,64,77,65,77,66,77,66,78,66,79,66,80,66,81,66,82,66,83,66,83,66,84,66,84,67,85,67,86,67,86,68,87,68,88,68,88,69,89,69,90,69,91,69,92,69,92,70
chicago-white-sox,CHW,0,0,0,0,0,1,0,1,1,1,1,2,2,2,2,3,2,3,2,4,3,4,4,4,5,4,5,5,6,5,6,6,7,6,7,7,7,7,7,8,7,9,8,9,9,9,10,9,11,9,11,9,12,9,13,9,13,10,13,11,14,11,14,12,15,12,15,13,15,14,15,15,15,15,15,16,15,16,15,17,15,18,16,18,17,18,17,19,17,20,17,21,17,22,18,22,19,22,20,22,20,23,20,24,20,25,20,25,21,25,22,26,23,26,24,26,24,27,24,28,24,28,24,29,24,30,24,31,24,31,25,31,25,32,25,33,25,34,26,34,26,35,27,35,28,35,28,36,29,36,30,36,31,36,31,37,31,37,31,38,31,39,32,39,32,40,32,41,32,42,32,43,33,43,33,44,34,44,35,44,35,45,36,45,37,45,37,46,37,47,37,47,37,48,38,48,38,49,38,49,38,49,38,49,38,49,38,50,38,51,38,52,38,52,38,53,38,54,38,54,38,55,38,56,38,57,39,57,39,58,39,59,39,60,39,61,39,62,40,62,41,62,41,63,41,64,41,65,41,66,41,67,41,68,41,68,42,68,43,68,44,68,45,68,45,69,45,70,45,70,45,71,45,72,45,73,46,73,46,74,47,74,48,75,48,76,49,76,50,76,51,76,51,77,52,77,52,77,52,78,52,79,52,80,52,81,53,81,54,81,54,82,54,83,54,84,54,85,54,86,55,86,56,86,57,86,57,87,58,87,59,87,59,88,60,88,60,89,60,89,60,90,60,91,61,91,62,91,62,92,63,92,64,92,64,93,65,93,66,93,66,94,67,94,67,95
cincinnati-reds,CIN,0,0,0,1,0,1,1,1,2,1,3,1,3,2,4,2,5,2,6,2,7,2,7,3,7,4,8,4,8,5,8,5,9,5,9,6,9,7,9,8,9,9,10,9,10,10,10,11,10,12,10,12,10,13,10,13,11,13,12,13,12,14,13,14,14,14,15,14,16,14,17,14,17,15,18,15,18,15,19,15,19,16,19,17,19,18,19,18,19,19,19,20,19,21,19,22,20,22,20,23,21,23,21,24,22,24,22,24,23,24,23,25,24,25,24,26,24,27,24,28,24,28,25,28,25,29,25,30,26,30,27,30,28,30,29,30,29,31,29,32,29,33,29,34,29,35,29,36,29,36,29,37,29,38,29,39,30,39,30,40,30,41,30,41,30,42,30,43,31,43,31,44,32,44,33,44,33,45,34,45,35,45,35,46,35,47,36,47,36,48,37,48,37,49,38,49,39,49,39,49,39,49,39,49,39,49,39,50,39,51,39,52,39,53,39,54,40,54,40,55,40,56,40,57,41,57,41,58,41,59,41,60,41,61,41,62,41,63,42,63,42,63,43,63,44,63,44,64,45,64,45,65,45,66,46,66,46,67,47,67,48,67,49,67,49,68,49,69,49,70,50,70,50,71,51,71,52,71,53,71,53,72,53,72,53,73,53,74,54,74,55,74,55,75,55,76,55,76,56,76,56,77,57,77,58,77,58,78,58,79,59,79,60,79,61,79,61,80,61,81,61,82,62,82,62,82,62,83,63,83,63,84,64,84,65,84,66,84,66,84,66,85,66,86,66,87,66,88,66,89,66,90,66,90,66,91,67,91,67,92,67,93,67,94,68,94
cleveland-indians,CLE,0,0,1,0,2,0,3,0,3,0,3,1,3,2,3,3,3,3,4,3,4,4,4,5,4,6,5,6,5,7,6,7,7,7,7,7,8,7,9,7,10,7,10,8,10,8,10,9,11,9,12,9,12,10,13,10,14,10,14,11,14,12,15,12,15,12,15,13,16,13,17,13,17,14,18,14,18,15,18,15,18,16,18,17,19,17,20,17,20,18,20,19,20,19,21,19,22,19,23,19,23,20,24,20,24,21,24,21,24,22,24,23,25,23,26,23,27,23,27,24,28,24,28,25,28,26,29,26,29,26,29,27,29,28,29,28,30,28,30,29,31,29,31,29,31,30,31,31,32,31,33,31,35,31,36,31,37,31,37,32,38,32,39,32,39,33,39,34,39,35,40,35,40,36,41,36,42,36,42,36,43,37,44,37,44,37,44,38,44,39,45,39,46,39,47,39,47,40,47,40,47,40,47,40,47,40,47,41,47,42,47,43,48,43,48,44,48,45,48,45,49,45,50,45,51,45,52,45,53,45,54,45,55,45,56,45,57,45,57,46,57,47,57,48,57,48,58,48,59,48,59,49,59,50,59,50,60,50,60,51,60,52,61,52,62,52,63,52,64,52,65,52,65,52,66,53,67,53,68,53,68,54,69,54,69,55,69,56,70,56,71,56,72,56,73,56,74,56,74,56,76,56,76,56,78,56,79,56,80,56,81,56,82,56,83,56,84,56,85,56,86,56,87,56,88,56,89,56,90,56,91,56,91,57,92,57,93,57,93,57,94,57,95,57,96,57,96,58,97,58,98,58,98,58,98,59,99,59,100,59,101,59,101,60,102,60
colorado-rockies,COL,0,0,1,0,2,0,2,1,3,1,4,1,5,1,5,2,5,3,6,3,6,4,7,4,7,5,8,5,9,5,9,5,10,5,10,6,10,6,11,6,12,6,13,6,14,6,14,7,14,8,14,9,15,9,16,9,16,10,16,10,16,11,17,11,18,11,18,12,19,12,20,12,20,12,21,13,22,13,23,13,23,14,23,15,24,15,24,15,25,15,25,15,26,16,27,16,27,17,28,17,29,17,30,17,31,17,31,18,32,18,32,19,33,19,33,20,33,21,33,22,34,22,34,23,35,23,36,23,36,23,37,23,38,23,39,23,40,23,41,23,41,24,41,25,41,26,42,26,43,26,44,26,45,26,46,26,46,26,47,26,47,27,47,28,47,29,47,30,47,31,47,32,47,33,47,34,47,34,48,34,48,35,48,36,49,36,49,37,50,37,50,38,51,38,51,39,52,39,52,39,52,39,52,39,52,39,52,40,52,41,53,41,54,41,55,41,56,41,56,41,56,42,57,42,58,42,58,43,58,44,58,45,58,45,58,45,59,45,60,46,60,46,61,46,61,47,62,47,63,47,64,47,64,48,64,48,64,49,65,49,65,49,65,50,65,51,65,52,66,52,66,53,67,53,67,54,68,54,68,55,68,56,68,56,68,57,68,58,69,58,69,59,70,59,71,59,71,60,72,60,72,61,72,61,72,62,72,63,72,64,73,64,74,64,74,65,75,65,76,65,77,65,78,65,79,65,80,65,80,66,80,67,81,67,82,67,82,68,82,68,82,69,82,70,82,71,83,71,83,72,84,72,84,73,85,73,86,73,86,73,87,73,87,74,87,75
detroit-tigers,DET,0,0,0,0,1,0,1,0,1,1,2,1,3,1,3,2,4,2,5,2,6,2,6,3,7,3,7,4,8,4,8,4,8,5,8,6,8,7,8,8,9,8,10,8,10,8,11,8,11,9,11,10,11,11,11,12,12,12,13,12,14,12,14,13,14,13,15,13,15,14,15,15,15,15,16,15,16,16,17,16,17,17,18,17,18,18,18,18,18,19,19,19,20,19,20,20,21,20,21,21,21,22,21,23,22,23,22,24,22,25,23,26,23,27,24,27,24,28,25,28,25,28,26,28,27,28,28,28,28,28,28,29,29,29,29,30,29,31,29,32,30,32,30,32,30,33,30,34,31,34,32,34,32,35,32,36,32,37,32,38,32,39,32,40,32,41,32,42,33,42,33,42,34,42,34,43,35,43,35,43,36,44,36,45,36,45,37,45,37,46,38,46,38,47,38,48,39,48,39,48,39,48,39,48,39,48,39,49,40,49,41,49,42,49,43,49,43,50,43,51,44,51,44,52,45,52,45,53,45,54,45,55,45,55,45,56,46,56,47,56,47,57,48,57,49,57,50,57,51,57,51,58,51,59,51,60,51,61,52,61,52,62,52,63,53,63,53,64,53,65,53,66,53,67,53,67,53,68,53,69,54,69,54,69,54,70,54,71,55,71,55,72,56,72,56,73,57,73,57,74,58,74,58,74,58,76,58,77,58,78,58,79,59,79,59,80,59,80,60,80,60,81,60,82,60,83,60,84,60,85,60,86,61,86,61,87,62,87,62,88,62,89,62,90,62,91,62,92,62,93,62,94,62,94,62,95,62,96,63,96,63,97,64,97,64,98
houston-astros,HOU,0,0,1,0,2,0,3,0,3,1,3,2,3,3,4,3,4,4,5,4,6,4,6,4,7,4,8,4,8,4,9,4,9,5,10,5,11,5,12,5,12,6,13,6,13,6,14,6,14,7,14,8,15,8,15,9,16,9,17,9,18,9,19,9,19,10,20,10,20,11,21,11,21,11,22,11,23,11,24,11,25,11,25,11,26,12,27,12,28,12,29,12,29,12,29,13,29,14,29,15,30,15,31,15,31,16,32,16,33,16,34,16,35,16,36,16,37,16,38,16,38,16,39,16,40,16,41,16,42,16,42,17,42,18,43,18,43,19,44,19,44,20,44,21,44,22,45,22,45,22,45,23,46,23,46,24,47,24,48,24,49,24,50,24,50,25,51,25,52,25,52,25,52,26,53,26,54,26,54,27,55,27,56,27,56,27,57,27,58,27,58,28,59,28,59,29,60,29,60,29,60,29,60,29,60,29,61,29,61,30,62,30,62,31,63,31,63,32,63,32,64,32,65,32,65,33,66,33,67,33,67,34,67,34,68,34,68,35,68,36,69,36,69,37,69,38,69,39,70,39,70,40,71,40,71,40,71,41,71,42,71,43,71,44,71,45,72,45,72,46,73,46,74,46,74,47,75,47,76,47,76,48,76,48,76,49,77,49,77,50,78,50,78,51,79,51,79,51,79,52,79,53,80,53,80,53,82,53,83,53,84,53,85,53,86,53,86,53,86,54,86,56,86,57,86,57,87,57,87,58,88,58,89,58,90,58,91,58,91,58,92,58,93,58,93,59,94,59,95,59,95,60,96,60,97,60,98,60,99,60,100,60,100,61,101,61
kansas-city-royals,KCR,0,0,0,1,0,1,0,2,0,3,1,3,2,3,2,4,2,5,2,5,2,6,3,6,4,6,5,6,6,6,6,6,6,7,7,7,7,8,7,9,7,10,7,11,7,12,7,13,7,14,7,14,7,15,7,15,7,16,8,16,8,17,9,17,9,18,10,18,10,19,10,20,11,20,12,20,12,21,13,21,14,21,15,21,16,21,16,21,16,22,16,23,17,23,17,24,17,24,18,25,18,26,19,26,19,27,19,27,20,27,21,27,21,28,21,29,22,29,22,30,22,30,23,30,24,30,24,31,24,32,25,32,26,32,26,33,26,34,27,34,28,34,28,34,29,34,30,34,31,34,32,34,32,35,33,35,34,35,34,36,35,36,35,36,36,36,37,36,37,37,37,37,37,38,38,38,38,39,39,39,40,40,41,40,42,40,43,40,44,40,44,40,44,41,44,42,44,43,44,43,44,43,44,43,44,43,44,44,44,45,45,45,45,46,45,47,46,47,47,47,48,47,49,47,50,47,51,47,52,47,53,47,53,47,54,47,54,48,55,48,55,49,55,50,55,51,56,51,56,52,56,52,57,53,57,54,57,55,57,56,57,57,57,58,58,58,59,58,60,58,60,59,61,59,61,59,61,60,61,61,62,61,62,61,63,61,64,61,64,62,64,63,64,64,64,65,64,66,65,66,65,67,65,67,66,67,66,68,67,68,68,68,68,69,69,69,69,70,69,71,70,71,71,71,71,72,72,72,72,73,72,74,73,74,73,75,73,76,73,76,73,77,74,77,75,77,75,78,76,78,76,79,76,80,77,80,78,80,78,81,79,81,80,81,80,82
